"Dr. Dog","We All Belong","Park the Van","This Philly outfit wears its love for classic rock on its sleeve: critics often tag it with Beatles and Beach Boys references. But these same critics are divided as to whether Dr. Dog is a group of revivalists or retreads. What we really have here is more of an indie rock paean to The Band’s “Music From Big Pink.” The nagging problem is that the playfulness that characterizes the bands live show comes across, but not enough of the energy. Sleepy, lo-fi ballads pair full-band harmonies with psychedelic guitar and barroom piano. Lyrics about girls and dogs and random observations are at least delivered with conviction, and although this album isn’t going to get stuck in your head, it certainly has its charms.","","","4.5.2.10"
"Bonnie “Prince” Billy","The Letting Go","Drag City","This album may disappoint Palace fans (Oldman’s earlier project) in its lack of grit, and absence of lo-fi texture.  Rather, “The Letting Go” implements carefully orchestrated, multi-instrumental, and somewhat ambient.  Yet the album remains dynamic with its juxtaposition of Oldman’s throaty singing over the operatic backing of Dawn McCarthy creating a soundscape of both beauty and tension.  A string ensemble weaves in and out of acoustic guitar on most songs while Oldman sings calmly about love, loss, and fear.  Bonnie “Prince” Billy breaks from the album’s polished sound in blues track “Cold & Wet” (#6), and approaches closer to chamber music than any fan would have expected on “Love Comes to Me” (#1).","","","10.2.1"
"Cale Parks","Illuminated Manuscript","Polyvinyl","Save Some Echoes, Aloha’s records have always had a lasting impact on me; their clever rhythmic backbone and earnest inviting ambiance seem to resonate over time, allowing emotional attachments to each album without becoming redundant.  While he is certainly not the only reason, percussionist and pianist Cale Parks is an essential piece to the Aloha puzzle, and his first solo outing, Illuminated Manuscript, only furtherembellishes his musical talents.  Recorded on borrowed 4-tracks and computers over the last year (his friends go far and wide after contributing and touring with the likes of Joan of Arc, Pit Er Pat, Chin Up Chin Up, Cex and many more), Parks’ sound concentrates on mellow percussive arrangements of keyboards, vibraphones, drum machines and light percussion.  Songs gurgle and bounce evoking Bobby Hutcherson one second and Dosh the next.  IM is a very enjoyable listen that doesn’t quite dig as deep as an Aloha record does, but certainly shares that inviting ambiance.","","","1.3.4.6.7.12"
"Various Artists","Good God! A Gospel Funk Hymnal","Numero Group","Few beliefs evoke as much genuine passion then that of religious faith, and few genres rely as heavily on energetic passion as funk does.  Modern gospel music relies on a cookie-cutter proto-funk backdrop for lively choirs and redundant preachers, which though being an obvious descendent, is a far cry from the creative butter funk of the 70s that on special occasions became a megaphone for spreading the word of Jesus.  Chicago’s unparalleled crate diggers, the Numero Group, have unearthed 18 cuts of music that is equal parts dirty funk and clean-cut gospel.  Typically made up of either funk bands attempting a church-oriented subject matter to expand their audiences or gospel groups giving the popular genre of the day a try to appeal to theyounger crowd, Good God! encompasses 18 different approaches to the hyphenated genre.  Whether it is a sped up and sexed-down rendition of Al Green’s Love and Happiness (15), a funky re-interpretation of religious musical number (10) or multi-generational ensemble of hard gospel (2), this gospel funk hymnal just may bring you a little closer to the big man upstairs… even if it is just because the music got you on your feet.","","","2.14.15.16"
"Sarah Shannon","City Morning Song","Minty Fresh","The onetime frontwoman for Velocity Girl moves ever farther away from her noisy guitar roots with her second solo album, a breezy, slightly jazzy affair.  While fans of her old band may be disappointed, this album finds Shannon more comfortable in her new, grown-up skin, after a tentative, rather dull first solo outing.  On this record, the songs are more fully realized, and provide a fine showcase for her lovely voice. Subtle horn flourishes and strings adorn some of the album's best songs, lending a 60's/70's soft rock feel that is more classic than cheesy (think Bacharach and the Free Design rather than the Starlite Vocal Band).  Not everything works here - some tracks still are not the most exciting, and others feel a little too ""adult contemporary"" - but overall, this is a far superior effort to her first solo record.","","","1.2.3.11.10"
"Snowglobe","Doing the Distance","Makeshift","Snowglobe orchestrate a rich rock symphony of guitars, drums, cello, violin, mellotron, synths, trumpet, flute & more. It’s a beautiful testament to the Memphis quintet’s creativity, musicianship and sincerity. RIYL: Neutral Milk hotel, Beulah, Gram Parsons, Olivia Tremor Control","","","6.12.9"
"Okay","Low Road / High Road","Absolutely Kosher","","","","D1: 2.3.8.10D2: 2.4.7"
"ZZZZ!","Palm Reader","Polyvinyl","Put this in, hit play and turn the speakers up. ZZZZ are a relatively new band around Chicago featuring Greg from CHINUP CHINUP/TEKULVI, Steve from SWEEP THE LEG JOHNNY/EARLY RISERS/CHECK ENGINE and John from SWING KIDS. Take a drum kit, fretless bass, organ, sax running through effects pedals and intense circus-eriffic male/female dualing vocals and you have what will seriously be a classic record 10 years from now. A strange hybrid of WORLD INFERNO/FRIENDSHIP SOCIETY, BLUE MEANIES, SWEEP THE LEG JOHNNY and a county fair freak show. Play this a lot.","","","1.6.7.4.2.8"
"Mass Shivers","Mass Shivers","Sickroom Records","From the same label that has brought us great records from SWEEP THE LEG JOHNNY, BEAR CLAW, HELLA, RUNNER, JUST A FIRE and more we have a new EP from the band MASS SHIVERS. Two guitars, drums and vocals are their weapons of choice, though you wouldn’t necessarily pick up on the lack of bass right away. I’ve heard people compare these guys to SHELLAC, which I can see. It’s not as powerful, but the tonal qualities are there. Vocally there’s a very CALL ME LIGHTNING influence there. I really enjoy this one.","","","1.2.4.3"
"Various Artists","Then Is The New Now","Lookout Records","Made for radio only label samplers are usually very easy to pass on, however, this collection of Lookout Records releases spanning their career contains many classic records that we don’t have in the library that revolve around the glory days of the label in the late-80’s to mid-90’s. Really cool stuff. I’m especially excited about the MR T EXPERIENCE, CRIMPSHRINE and OPERATION IVY (to this day I still can’t believe they were only together from start to finish for 8 months) tracks personally. If you play something off this, please announce it as off the album listed on the back with the track listing since this collection is not available in stores anywhere.  (Other notes: PINHEAD GUNPOWDER features members of GREEN DAY, CRIMPSHRINE, and FUEL. OPERATION IVY went on to become RANCID and COMMON RIDER. CRIMPSHRINE went on to become FIFTEEN and their drummer has played in about 40 bands, including PINHEAD GUNPOWDER, COLBOM, CLEVELAND BOUND DEATH SENTENCE, ASTRID OTO, and plenty others.)","","","4.2.12.6.7.14.8.3."
